Data,dir,FB,IForest,Average KNN,LOF,OCSVM,PCA
0,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0001.csv,0.6331,0.3232,0.2866,0.6218,0.4421,0.5403
1,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0002.csv,0.6321,0.33,0.2866,0.6088,0.4856,0.5916
2,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0003.csv,0.5702,0.3221,0.2648,0.5489,0.4645,0.585
3,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0004.csv,0.6051,0.3514,0.2561,0.5358,0.4374,0.5493
4,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0005.csv,0.6128,0.3033,0.2705,0.5779,0.4267,0.546
5,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0006.csv,0.6298,0.3368,0.285,0.5978,0.4756,0.6035
6,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0007.csv,0.5979,0.3456,0.2797,0.5876,0.454,0.5539
7,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0008.csv,0.6189,0.3643,0.2829,0.6141,0.4491,0.5479
8,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0009.csv,0.5925,0.3175,0.2842,0.5585,0.4195,0.5132
9,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0010.csv,0.6212,0.3389,0.2867,0.6054,0.4395,0.5602
10,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0011.csv,0.6132,0.3564,0.2928,0.5849,0.4574,0.5684
11,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0012.csv,0.6368,0.3335,0.2934,0.6306,0.4548,0.5408
12,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0013.csv,0.6027,0.3622,0.2943,0.5755,0.4666,0.5932
13,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0014.csv,0.5968,0.3273,0.2746,0.5694,0.4425,0.5489
14,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0015.csv,0.5874,0.3387,0.2704,0.5599,0.4766,0.5943
15,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0016.csv,0.5947,0.3288,0.2881,0.6014,0.4429,0.5942
16,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0017.csv,0.6291,0.3342,0.2902,0.5771,0.4488,0.537
17,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0018.csv,0.6213,0.3759,0.2878,0.5908,0.4865,0.6002
18,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0019.csv,0.604,0.3502,0.2817,0.5668,0.4601,0.5785
19,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0020.csv,0.6241,0.3163,0.2737,0.5972,0.4288,0.5313
20,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0021.csv,0.6156,0.2123,0.2601,0.5848,0.277,0.2335
21,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0022.csv,0.5661,0.2275,0.3748,0.5101,0.2611,0.3646
22,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0023.csv,0.6042,0.229,0.4074,0.5366,0.3219,0.4556
23,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0024.csv,0.5179,0.2042,0.3667,0.5218,0.2631,0.3988
24,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0025.csv,0.5609,0.2116,0.2763,0.53,0.2549,0.2294
25,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0026.csv,0.5777,0.1941,0.2498,0.5708,0.2487,0.2354
26,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0027.csv,0.543,0.237,0.2899,0.5468,0.2846,0.2365
27,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0028.csv,0.5619,0.1884,0.2684,0.5655,0.2144,0.2325
28,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0029.csv,0.5228,0.1923,0.3462,0.499,0.2119,0.3613
29,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0030.csv,0.5681,0.2201,0.2755,0.5996,0.255,0.1845
30,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0031.csv,0.57,0.197,0.2508,0.5586,0.2383,0.2181
31,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0032.csv,0.5122,0.1847,0.3094,0.5385,0.2643,0.2954
32,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0033.csv,0.5608,0.2099,0.3446,0.5512,0.2495,0.333
33,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0034.csv,0.5716,0.2121,0.2702,0.5747,0.2671,0.2291
34,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0035.csv,0.5398,0.1889,0.3137,0.5445,0.2146,0.2632
35,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0036.csv,0.6042,0.251,0.317,0.6017,0.2981,0.2488
36,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0037.csv,0.5534,0.1751,0.367,0.5594,0.2394,0.3184
37,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0038.csv,0.5542,0.2163,0.2745,0.5554,0.2795,0.1873
38,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0039.csv,0.5951,0.1924,0.2649,0.5484,0.2428,0.2318
39,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0040.csv,0.6029,0.2096,0.2726,0.5742,0.2514,0.2211
40,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0041.csv,0.6357,0.3483,0.3019,0.6168,0.4605,0.5542
41,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0042.csv,0.6171,0.3417,0.2982,0.5801,0.4655,0.5479
42,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0043.csv,0.6477,0.3673,0.3114,0.601,0.4423,0.5661
43,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0044.csv,0.6067,0.2984,0.268,0.5747,0.4094,0.5388
44,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0045.csv,0.6164,0.3378,0.2801,0.5808,0.4755,0.6031
45,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0046.csv,0.5874,0.308,0.2654,0.5773,0.4329,0.5587
46,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0047.csv,0.5863,0.3546,0.2929,0.5611,0.4832,0.5841
47,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0048.csv,0.6174,0.3384,0.2943,0.5741,0.453,0.5836
48,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0049.csv,0.6401,0.378,0.2999,0.5878,0.4959,0.5723
49,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0050.csv,0.5949,0.3397,0.2946,0.5549,0.4818,0.5759
50,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0051.csv,0.5805,0.3359,0.2786,0.5798,0.436,0.5581
51,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0052.csv,0.5911,0.2963,0.2613,0.5903,0.4275,0.56
52,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0053.csv,0.6322,0.3386,0.2947,0.6178,0.4513,0.5621
53,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0054.csv,0.6181,0.3387,0.2866,0.58,0.4604,0.5387
54,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0055.csv,0.5856,0.3136,0.2697,0.5838,0.4427,0.5692
55,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0056.csv,0.6288,0.3498,0.2816,0.6056,0.4447,0.5666
56,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0057.csv,0.6229,0.3336,0.272,0.6014,0.4604,0.5503
57,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0058.csv,0.6465,0.3068,0.2799,0.6391,0.4458,0.5429
58,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0059.csv,0.6005,0.3862,0.2924,0.5747,0.4617,0.5675
59,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0060.csv,0.6065,0.3429,0.306,0.5983,0.4728,0.5625
60,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0061.csv,0.5961,0.3202,0.2766,0.5897,0.4302,0.5696
61,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0062.csv,0.5845,0.3532,0.2851,0.6205,0.4297,0.5888
62,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0063.csv,0.6164,0.2923,0.2646,0.5919,0.4245,0.5352
63,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0064.csv,0.582,0.3202,0.2834,0.6071,0.4401,0.5518
64,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0065.csv,0.6398,0.31,0.2801,0.5848,0.4533,0.5296
65,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0066.csv,0.623,0.3174,0.2842,0.626,0.4601,0.5747
66,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0067.csv,0.59,0.3266,0.2777,0.6032,0.4588,0.5614
67,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0068.csv,0.5993,0.3366,0.2956,0.5862,0.4413,0.5246
68,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0069.csv,0.6466,0.3551,0.2973,0.6072,0.4546,0.5894
69,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0070.csv,0.6626,0.3174,0.2787,0.6124,0.4481,0.5687
70,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0071.csv,0.6377,0.3322,0.2804,0.5723,0.4559,0.5321
71,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0072.csv,0.6077,0.3373,0.2709,0.6035,0.4542,0.5891
72,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0073.csv,0.6291,0.3206,0.2883,0.6409,0.4516,0.5573
73,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0074.csv,0.6693,0.3544,0.2912,0.6429,0.4746,0.5508
74,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0075.csv,0.581,0.3069,0.2774,0.5771,0.3978,0.5178
75,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0076.csv,0.5958,0.3494,0.2822,0.5885,0.4349,0.5521
76,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0077.csv,0.605,0.3213,0.2666,0.5629,0.4323,0.5667
77,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0078.csv,0.6217,0.3758,0.2861,0.6056,0.4855,0.5767
78,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0079.csv,0.612,0.3598,0.3,0.5775,0.4683,0.5743
79,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0080.csv,0.6079,0.3543,0.2766,0.5983,0.4982,0.5824
80,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0081.csv,0.5609,0.2173,0.2825,0.5756,0.2579,0.2321
81,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0082.csv,0.5882,0.2077,0.3079,0.5586,0.2897,0.2709
82,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0083.csv,0.5705,0.1802,0.2545,0.5997,0.2438,0.2319
83,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0084.csv,0.5463,0.2028,0.2717,0.5574,0.2574,0.1834
84,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0085.csv,0.5964,0.1872,0.29,0.557,0.223,0.2336
85,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0086.csv,0.6141,0.1864,0.2732,0.625,0.2578,0.2284
86,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0087.csv,0.53,0.2203,0.3954,0.5327,0.2588,0.4065
87,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0088.csv,0.5053,0.1661,0.335,0.4755,0.2341,0.4267
88,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0089.csv,0.5696,0.2301,0.2833,0.557,0.3028,0.2082
89,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0090.csv,0.5649,0.1959,0.2505,0.5594,0.2393,0.2381
90,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0091.csv,0.5815,0.211,0.2863,0.5896,0.2614,0.2407
91,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0092.csv,0.5941,0.2043,0.287,0.5897,0.2661,0.2142
92,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0093.csv,0.5731,0.1938,0.2858,0.5609,0.2591,0.2378
93,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0094.csv,0.5194,0.178,0.3166,0.4947,0.1887,0.3188
94,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0095.csv,0.5687,0.2103,0.2855,0.5663,0.2458,0.1953
95,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0096.csv,0.5523,0.1819,0.2492,0.5509,0.2489,0.2163
96,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0097.csv,0.5872,0.1783,0.2755,0.5689,0.2473,0.2378
97,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0098.csv,0.5208,0.216,0.2604,0.5461,0.2623,0.2341
98,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0099.csv,0.56,0.2246,0.2727,0.5348,0.2719,0.187
99,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0100.csv,0.5644,0.1863,0.257,0.5594,0.2635,0.233
100,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0101.csv,0.6536,0.3438,0.3077,0.616,0.44,0.5504
101,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0102.csv,0.6052,0.3498,0.2807,0.5737,0.4632,0.5367
102,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0103.csv,0.6376,0.3478,0.2749,0.5789,0.4447,0.5706
103,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0104.csv,0.6079,0.2948,0.2728,0.5972,0.3703,0.5079
104,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0105.csv,0.6532,0.3427,0.2969,0.6349,0.4659,0.586
105,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0106.csv,0.5934,0.3706,0.2842,0.5907,0.4837,0.5837
106,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0107.csv,0.6158,0.3413,0.2966,0.5964,0.4632,0.5564
107,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0108.csv,0.5944,0.3601,0.2984,0.6357,0.438,0.5493
108,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0109.csv,0.6414,0.3972,0.2997,0.6197,0.4767,0.5531
109,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0110.csv,0.6184,0.3226,0.284,0.6102,0.4742,0.5557
110,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0111.csv,0.5914,0.3418,0.2923,0.5789,0.4801,0.5806
111,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0112.csv,0.5911,0.3044,0.2722,0.5607,0.4249,0.5315
112,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0113.csv,0.6285,0.3445,0.2851,0.5538,0.4145,0.5407
113,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0114.csv,0.6302,0.3538,0.2813,0.586,0.4693,0.5987
114,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0115.csv,0.6013,0.3535,0.2779,0.6105,0.4754,0.5612
115,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0116.csv,0.6243,0.3641,0.2847,0.5983,0.4802,0.5959
116,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0117.csv,0.6013,0.3439,0.2803,0.5926,0.4732,0.5577
117,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0118.csv,0.6347,0.3325,0.297,0.6086,0.4484,0.5825
118,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0119.csv,0.6285,0.3509,0.2841,0.6164,0.4821,0.5835
119,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0120.csv,0.6472,0.3474,0.2814,0.6234,0.4321,0.535
120,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0121.csv,0.7087,0.5388,0.4746,0.6203,0.6543,0.7344
121,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0122.csv,0.7219,0.5346,0.4764,0.6494,0.6712,0.7356
122,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0123.csv,0.6771,0.5201,0.4691,0.6271,0.6324,0.746
123,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0124.csv,0.6625,0.5167,0.4807,0.5772,0.6885,0.7516
124,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0125.csv,0.6861,0.5588,0.4839,0.648,0.665,0.724
125,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0126.csv,0.7191,0.4432,0.4788,0.6468,0.59,0.6954
126,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0127.csv,0.6699,0.5208,0.4715,0.6086,0.65,0.7436
127,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0128.csv,0.7065,0.6009,0.4784,0.6395,0.655,0.7291
128,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0129.csv,0.7015,0.5278,0.4804,0.6481,0.6574,0.7089
129,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0130.csv,0.6814,0.5474,0.4934,0.606,0.5898,0.6825
130,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0131.csv,0.6735,0.5458,0.4588,0.6238,0.6598,0.7215
131,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0132.csv,0.6315,0.4942,0.4603,0.5778,0.6131,0.7009
132,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0133.csv,0.7175,0.5526,0.4678,0.6279,0.6614,0.731
133,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0134.csv,0.7179,0.5497,0.4744,0.6946,0.6313,0.7012
134,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0135.csv,0.6829,0.5722,0.4719,0.6289,0.6268,0.6983
135,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0136.csv,0.6314,0.5475,0.4905,0.6178,0.6859,0.7388
136,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0137.csv,0.7172,0.5539,0.4742,0.6405,0.6482,0.518
137,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0138.csv,0.7054,0.5362,0.4812,0.6092,0.6576,0.7213
138,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0139.csv,0.6551,0.5605,0.4743,0.5761,0.6309,0.7193
139,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0140.csv,0.6464,0.5556,0.4676,0.6104,0.6864,0.7256
140,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0141.csv,0.568,0.3279,0.5114,0.5728,0.3859,0.3988
141,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0142.csv,0.5904,0.3633,0.5278,0.5369,0.3928,0.3925
142,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0143.csv,0.5461,0.3131,0.5519,0.5319,0.3773,0.4304
143,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0144.csv,0.5777,0.307,0.5177,0.5586,0.3627,0.4316
144,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0145.csv,0.6272,0.3611,0.5543,0.5922,0.4535,0.362
145,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0146.csv,0.6227,0.3501,0.5066,0.5578,0.4354,0.3511
146,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0147.csv,0.6167,0.3385,0.53,0.5595,0.4081,0.2495
147,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0148.csv,0.5747,0.3552,0.5399,0.5504,0.4092,0.4441
148,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0149.csv,0.6271,0.3192,0.4928,0.5118,0.4137,0.3689
149,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0150.csv,0.6237,0.3542,0.5042,0.6115,0.3898,0.3654
150,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0151.csv,0.5729,0.3367,0.5246,0.5403,0.4148,0.2737
151,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0152.csv,0.5606,0.3562,0.53,0.5352,0.3901,0.3698
152,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0153.csv,0.5409,0.2872,0.5142,0.5185,0.3547,0.481
153,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0154.csv,0.5305,0.364,0.5256,0.5053,0.4163,0.3373
154,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0155.csv,0.6024,0.3579,0.5345,0.5531,0.4127,0.3834
155,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0156.csv,0.5805,0.3125,0.4568,0.5331,0.4197,0.3387
156,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0157.csv,0.6454,0.3494,0.5027,0.574,0.4031,0.3587
157,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0158.csv,0.6278,0.3327,0.5004,0.5774,0.4031,0.3418
158,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0159.csv,0.5592,0.3412,0.5461,0.5424,0.4011,0.4148
159,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0160.csv,0.6054,0.3416,0.5028,0.5378,0.4154,0.4045
160,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0161.csv,0.6868,0.5792,0.4615,0.6411,0.6519,0.7462
161,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0162.csv,0.7066,0.5153,0.4658,0.6349,0.6428,0.7104
162,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0163.csv,0.6689,0.537,0.4747,0.6338,0.6762,0.7394
163,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0164.csv,0.6592,0.5514,0.4642,0.6131,0.6905,0.7539
164,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0165.csv,0.6788,0.5807,0.4687,0.6182,0.6667,0.7417
165,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0166.csv,0.6654,0.4979,0.4317,0.6202,0.6357,0.7241
166,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0167.csv,0.6725,0.5134,0.4536,0.6232,0.6389,0.7189
167,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0168.csv,0.7169,0.5631,0.5005,0.6642,0.6575,0.7291
168,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0169.csv,0.6984,0.5154,0.4946,0.6544,0.621,0.7491
169,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0170.csv,0.6776,0.5843,0.4641,0.6087,0.6874,0.7203
170,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0171.csv,0.6832,0.5085,0.4806,0.6344,0.6905,0.7346
171,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0172.csv,0.6788,0.5517,0.462,0.6003,0.6661,0.7287
172,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0173.csv,0.644,0.538,0.4465,0.5884,0.6775,0.7015
173,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0174.csv,0.6449,0.572,0.4765,0.6316,0.6648,0.7233
174,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0175.csv,0.7006,0.5217,0.4734,0.6493,0.6407,0.6993
175,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0176.csv,0.6872,0.4771,0.4767,0.6153,0.6288,0.7193
176,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0177.csv,0.667,0.5217,0.4781,0.6182,0.638,0.5071
177,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0178.csv,0.6965,0.4748,0.4313,0.6587,0.6323,0.7148
178,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0179.csv,0.6758,0.4651,0.457,0.6291,0.6625,0.738
179,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0180.csv,0.6759,0.55,0.4702,0.617,0.6318,0.7052
